# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 01 09:06:43 CET 2021 [seed=1614585993771]
# TreeTime_270221.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate1	coordinates.traitLikelihood1
230000	-362967.5344667488	-51595.911027510585	-311371.62343923823	1.8902603010527687E-11	-4.892052303161794E-12	-4.892052303161794E-12	2.793322018671401E-11	0.21289711805795766	5.5414436313996796E10	9.70494339665286E9	9.70494339665286E9	3.7499331752443855E10	480867.33568359504	-311371.62343923823
240000	-362892.5961135183	-51639.46837330258	-311253.1277402157	1.963357600090679E-11	-4.94451709005303E-12	-4.94451709005303E-12	2.8807226861347172E-11	0.20790907775588316	5.3234270970098114E10	9.137212820069923E9	9.137212820069923E9	3.6281836845138435E10	481170.9609708882	-311253.1277402157
250000	-362890.8731790028	-51687.37955469577	-311203.493624307	1.8871874226371595E-11	-4.64056286119276E-12	-4.64056286119276E-12	2.8927868384297787E-11	0.19861174486969319	5.516497990668926E10	8.849478765341156E9	8.849478765341156E9	3.5988360727762886E10	483205.67352679145	-311203.493624307
260000	-362833.5154017704	-51742.53796631801	-311090.9774354524	1.9116372362937278E-11	-4.623419213496462E-12	-4.623419213496462E-12	2.929361298783891E-11	0.19537728170622856	5.438726630680644E10	8.5839576059405155E9	8.5839576059405155E9	3.5491942730135925E10	481684.17207490193	-311090.9774354524
270000	-362798.300194017	-51787.35975885663	-311010.94043516036	1.9472132675642612E-11	-5.027406073766931E-12	-5.027406073766931E-12	2.9466451113056076E-11	0.20988107927457636	5.3721896163646645E10	9.165738555727362E9	9.165738555727364E9	3.550070843862576E10	483687.9606053711	-311010.94043516036
280000	-362818.02778752544	-51863.76964168758	-310954.25814583787	1.972614539800978E-11	-4.8437207624068435E-12	-4.8437207624068435E-12	2.916302581904749E-11	0.2019489931427041	5.284952426039221E10	8.777838744571909E9	8.777838744571907E9	3.574791608541642E10	481476.63555055496	-310954.25814583787
290000	-362798.8482107521	-51914.332373841695	-310884.51583691046	1.9182136738231504E-11	-4.8128791610299004E-12	-4.8128791610299004E-12	2.883646505796283E-11	0.20463761052416837	5.4410353641732445E10	9.081226033086508E9	9.081226033086508E9	3.619399400839659E10	482459.5124575756	-310884.51583691046
300000	-362805.3221538008	-51972.180586897965	-310833.14156690286	1.9342315902355698E-11	-4.7558306340686536E-12	-4.7558306340686536E-12	2.9177273504380176E-11	0.2001934162684044	5.385863137193999E10	8.778837027017977E9	8.778837027017977E9	3.5704181266566864E10	484020.99233364454	-310833.14156690286
310000	-362736.5094949246	-52028.56211929966	-310707.94737562496	1.9725498256983343E-11	-5.062110624249179E-12	-5.062110624249179E-12	3.019734950665797E-11	0.20741168891915884	5.297475767899042E10	8.880384803464882E9	8.880384803464882E9	3.460414597084579E10	485039.37448584114	-310707.94737562496
320000	-362702.8237696264	-52073.07864193798	-310629.7451276884	1.9843582669096548E-11	-5.12483130178193E-12	-5.12483130178193E-12	3.0005221219267236E-11	0.21002505882610953	5.271961567488445E10	9.004404088681444E9	9.004404088681444E9	3.48654670559738E10	482423.9921699714	-310629.7451276884
330000	-362695.35631703556	-52115.853880520845	-310579.5024365147	2.0206689015989268E-11	-5.048339918179038E-12	-5.048339918179038E-12	2.974378835011249E-11	0.20592205780745396	5.167999594618556E10	8.771518390174152E9	8.771518390174152E9	3.510923336798852E10	485222.0766545997	-310579.5024365147
340000	-362693.07888409565	-52175.48277042152	-310517.5961136741	2.0447505677730594E-11	-4.9538519834207385E-12	-4.9538519834207385E-12	3.0371370649197294E-11	0.1987882275465887	5.091782818357474E10	8.305169597123357E9	8.305169597123357E9	3.428039494519396E10	482327.5899400928	-310517.5961136741
350000	-362632.8465128689	-52237.42674832506	-310395.4197645438	2.0420101642052954E-11	-5.072783392811564E-12	-5.072783392811564E-12	2.985442512692539E-11	0.20545324839067175	5.11295855573106E10	8.687801268782118E9	8.687801268782118E9	3.497207966850744E10	480604.35437123966	-310395.4197645438
360000	-362664.37794092065	-52313.34478774526	-310351.0331531754	1.987373739206559E-11	-4.78856283843281E-12	-4.78856283843281E-12	3.0102744337329604E-11	0.19577731694837008	5.232314303977384E10	8.323249719114869E9	8.323249719114869E9	3.4543574919528244E10	481288.3701799396	-310351.0331531754
370000	-362639.982320594	-52400.942142804386	-310239.04017778963	2.02654417713923E-11	-4.917630692316387E-12	-4.917630692316387E-12	3.034382528998363E-11	0.19830912958975963	5.1365097700028046E10	8.32441455714775E9	8.324414557147751E9	3.430471888675828E10	482297.9846628312	-310239.04017778963
380000	-362626.76975114463	-52454.29342987539	-310172.47632126923	2.0317511656043925E-11	-4.9002859425748124E-12	-4.9002859425748124E-12	2.9878397859923933E-11	0.1988875101987665	5.124571346180093E10	8.404689249784267E9	8.404689249784267E9	3.484743008857832E10	481595.6933223769	-310172.47632126923
390000	-362612.2399042343	-52500.02069321452	-310112.2192110198	2.0718917709050473E-11	-5.436863886453262E-12	-5.436863886453262E-12	3.0092747725468835E-11	0.21773788772791747	5.0667190073309746E10	9.154053277245197E9	9.154053277245195E9	3.4884462902975685E10	481339.41301610204	-310112.2192110198
400000	-362646.3105893261	-52577.61971790032	-310068.6908714258	2.0437185770311063E-11	-5.176719328221692E-12	-5.176719328221692E-12	3.0161895881975064E-11	0.20850417449833986	5.115429737374149E10	8.779668259994913E9	8.779668259994911E9	3.466127866987491E10	483978.9126758746	-310068.6908714258
410000	-362607.026402126	-52640.59601151414	-309966.4303906119	2.0591244843993754E-11	-5.266730721438107E-12	-5.266730721438107E-12	3.0677429489121796E-11	0.20955128560465117	5.079481845554876E10	8.720503487574583E9	8.720503487574583E9	3.409439972782932E10	481925.215587936	-309966.4303906119
420000	-362543.7889364565	-52691.85581987461	-309851.9331165819	2.0453976385345697E-11	-5.331567333412987E-12	-5.331567333412987E-12	3.0772467791034135E-11	0.21251268594449008	5.1202644559410034E10	8.871252997032793E9	8.871252997032795E9	3.4033594243961243E10	483906.30131974263	-309851.9331165819
430000	-362543.4663407104	-52740.3418215257	-309803.1245191847	2.0849950406556972E-11	-5.590655360896585E-12	-5.590655360896585E-12	3.147439070005256E-11	0.218238587362306	5.036030968601602E10	8.945276749140295E9	8.945276749140295E9	3.3360771600593094E10	481280.8396650238	-309803.1245191847
440000	-362500.62091136107	-52790.394583115136	-309710.22632824595	2.1043919135495906E-11	-5.6805662696870155E-12	-5.6805662696870155E-12	3.132525794031288E-11	0.2212488340325054	4.9965530603993965E10	9.060819493869022E9	9.060819493869022E9	3.356622274574932E10	482033.9493662028	-309710.22632824595
450000	-362503.96596915805	-52851.674602180385	-309652.2913669777	2.0885630580413232E-11	-5.2901279140590765E-12	-5.2901279140590765E-12	3.163422405183668E-11	0.20580872594083205	4.999756740017194E10	8.360993034167475E9	8.360993034167475E9	3.3009525409196022E10	483883.1186749176	-309652.2913669777
460000	-362481.7533171528	-52918.02783565378	-309563.725481499	2.0961475809422602E-11	-5.337798095291987E-12	-5.337798095291987E-12	3.2259198809707866E-11	0.20526950060516563	4.980513213466195E10	8.2410521418207445E9	8.241052141820746E9	3.236252327852735E10	483553.96758005075	-309563.725481499
470000	-362442.5040989966	-52967.6864060321	-309474.81769296445	2.092652816086836E-11	-5.356647181726404E-12	-5.356647181726404E-12	3.177514224756817E-11	0.20773070712661795	4.994130488144188E10	8.419095277705282E9	8.419095277705281E9	3.289043098058798E10	480183.0889552158	-309474.81769296445
480000	-362393.4183742966	-53017.022239794045	-309376.3961345026	2.1571713946990302E-11	-5.659600453550554E-12	-5.659600453550554E-12	3.30149206592293E-11	0.2120744344030418	4.854012207261432E10	8.321016419609966E9	8.321016419609965E9	3.1715769942633854E10	484103.5936692632	-309376.3961345026
490000	-362405.008802254	-53079.88375076893	-309325.1250514851	2.1653872968321936E-11	-5.619317900032317E-12	-5.619317900032317E-12	3.192297384395165E-11	0.21372933703679825	4.839165710714985E10	8.518257300328384E9	8.518257300328385E9	3.2824848989542133E10	480941.6442993106	-309325.1250514851
500000	-362426.72424588265	-53123.617209738215	-309303.1070361444	2.1237421739289167E-11	-5.514548531413311E-12	-5.514548531413311E-12	3.2274362875902946E-11	0.21063485037842322	4.927278252145343E10	8.41897798376683E9	8.418977983766831E9	3.2422851124899433E10	482532.2880498373	-309303.1070361444
510000	-362417.24121191824	-53185.2668247288	-309231.97438718943	2.2010467679272736E-11	-5.809661643664957E-12	-5.809661643664957E-12	3.21019513634889E-11	0.218559902470116	4.771205847514913E10	8.634706125018806E9	8.634706125018805E9	3.2713423214927788E10	481989.61630604474	-309231.97438718943
520000	-362414.7291039404	-53211.321703434405	-309203.407400506	2.2133693159724377E-11	-6.043486875409721E-12	-6.043486875409721E-12	3.196346884102695E-11	0.2272132680342682	4.7639414574934875E10	9.00741337455448E9	9.00741337455448E9	3.2988790727152885E10	481899.35844660905	-309203.407400506
530000	-362370.73716371297	-53256.497460525396	-309114.2397031876	2.1956259435338494E-11	-5.910058774218929E-12	-5.910058774218929E-12	3.325171303919092E-11	0.21872861904869337	4.7833561811805855E10	8.5017924145686455E9	8.5017924145686455E9	3.158472141325396E10	481968.7645180767	-309114.2397031876
540000	-362357.15459573	-53307.4674169562	-309049.6871787738	2.177999797577196E-11	-5.7462550012839646E-12	-5.7462550012839646E-12	3.2952711463396073E-11	0.21449165459462258	4.812789051603462E10	8.392484845631258E9	8.392484845631258E9	3.1809988054603E10	480232.4528176921	-309049.6871787738
550000	-362367.37876793847	-53344.09184268141	-309023.28692525707	2.208091624225916E-11	-6.029892919430461E-12	-6.029892919430461E-12	3.3626371282055034E-11	0.2212896249611375	4.761987827228276E10	8.539213595473924E9	8.539213595473925E9	3.1269818999410988E10	482728.1923030815	-309023.28692525707
560000	-362353.9262269514	-53378.27031589518	-308975.6559110562	2.203294380057812E-11	-5.9458162017337734E-12	-5.9458162017337734E-12	3.293834386313102E-11	0.22071118229728254	4.771073487549006E10	8.612432416094997E9	8.612432416094997E9	3.1914413929372044E10	481552.9983684995	-308975.6559110562
570000	-362374.22768710915	-53437.753043734585	-308936.47464337456	2.2413630794956404E-11	-6.168333948395628E-12	-6.168333948395628E-12	3.3659971900919977E-11	0.22457163275975853	4.698528946763687E10	8.61025543786918E9	8.610255437869183E9	3.128674420827379E10	480228.76697717136	-308936.47464337456
580000	-362327.32774815377	-53488.76978302475	-308838.55796512903	2.197359844466476E-11	-6.0456945976413346E-12	-6.0456945976413346E-12	3.3586763002125366E-11	0.22254177001670258	4.788043028381802E10	8.618587587059328E9	8.618587587059328E9	3.1324999921778893E10	482523.0119833489	-308838.55796512903
590000	-362278.53666809876	-53519.18980603376	-308759.346862065	2.201066371241852E-11	-6.316207561757937E-12	-6.316207561757937E-12	3.391609149096986E-11	0.23117290201618915	4.799755680886177E10	8.938604595483995E9	8.938604595483997E9	3.1149169479591763E10	481096.7360046983	-308759.346862065
600000	-362248.99558287003	-53557.390267211165	-308691.60531565885	2.2350131464065488E-11	-5.786082712781648E-12	-5.786082712781648E-12	3.380725743160307E-11	0.2104939540877666	4.68168115919304E10	8.012656595042206E9	8.012656595042205E9	3.0950806817884285E10	483589.9926898011	-308691.60531565885
610000	-362233.06561407895	-53577.916448018725	-308655.1491660602	2.2590921247952744E-11	-5.817312401349397E-12	-5.817312401349397E-12	3.4245967348953027E-11	0.20914654611765998	4.629041806463288E10	7.863285633812578E9	7.863285633812579E9	3.0536243242225163E10	479886.1464666789	-308655.1491660602
620000	-362216.3698747509	-53615.2930032976	-308601.0768714533	2.219603411449599E-11	-6.045578509096442E-12	-6.045578509096442E-12	3.480714724604983E-11	0.21750335398315446	4.7290288703161316E10	8.213748488257508E9	8.213748488257508E9	3.0156359954458942E10	481642.2520342277	-308601.0768714533
630000	-362209.7133516159	-53646.218336231555	-308563.49501538434	2.2794440146336956E-11	-6.411828804063487E-12	-6.411828804063487E-12	3.379462274797217E-11	0.23101684681666748	4.6343651344483765E10	8.792746727550516E9	8.792746727550516E9	3.125874771890835E10	479918.1211183869	-308563.49501538434
640000	-362205.31413838244	-53678.32549711959	-308526.98864126287	2.3240991330505283E-11	-6.412643850759749E-12	-6.412643850759749E-12	3.435755926734592E-11	0.2269335170643404	4.536359623978521E10	8.466858318189213E9	8.466858318189213E9	3.0685967496282894E10	482886.9175698077	-308526.98864126287
650000	-362193.7272189972	-53706.20467466973	-308487.5225443275	2.2954989177111664E-11	-6.405764739333398E-12	-6.405764739333398E-12	3.482957795076701E-11	0.22654700882878862	4.5920307396162285E10	8.445542646353232E9	8.445542646353231E9	3.0264511409772415E10	481697.94422952156	-308487.5225443275
660000	-362182.0958167856	-53741.90528098656	-308440.190535799	2.2730181207211286E-11	-5.691989587609315E-12	-5.691989587609315E-12	3.419196900937704E-11	0.204174072958079	4.590814514015633E10	7.642399419950454E9	7.642399419950453E9	3.051887586925844E10	481996.2757144711	-308440.190535799
670000	-362212.0051549463	-53800.587801781985	-308411.4173531643	2.3090526352515553E-11	-6.651337020637951E-12	-6.651337020637951E-12	3.525360183874044E-11	0.23312577338146143	4.579674905273079E10	8.64052455668676E9	8.64052455668676E9	2.9996113466612064E10	482630.9117225472	-308411.4173531643
680000	-362235.3784891394	-53875.926917566816	-308359.4515715726	2.3280693621217802E-11	-6.049298411637421E-12	-6.049298411637421E-12	3.490492990340726E-11	0.2122089350652803	4.4979596268156075E10	7.795317194849553E9	7.795317194849553E9	3.0000237869630974E10	481271.37762041274	-308359.4515715726
690000	-362194.4191825326	-53921.58629200685	-308272.83289052575	2.3096062771344045E-11	-6.068624795330776E-12	-6.068624795330776E-12	3.506865119906902E-11	0.2132366152986569	4.5359932538715126E10	7.84952947737795E9	7.84952947737795E9	2.9873856375916378E10	483294.3086294158	-308272.83289052575
700000	-362158.6625522132	-53941.71727424485	-308216.9452779683	2.2874267719984314E-11	-6.3383827695533124E-12	-6.3383827695533124E-12	3.5345649407607285E-11	0.22291376120204653	4.6003169018769875E10	8.249549767521402E9	8.249549767521403E9	2.977138125170649E10	480100.5469086428	-308216.9452779683
710000	-362161.6623741913	-54001.18854254012	-308160.47383165115	2.3180546771731978E-11	-6.299024052217657E-12	-6.299024052217657E-12	3.5103730515633686E-11	0.22081816311737446	4.535096388388703E10	8.137790716249804E9	8.137790716249803E9	2.994724845512887E10	481797.55560960126	-308160.47383165115
720000	-362155.5570472465	-54037.1461354804	-308118.4109117661	2.3228521677899954E-11	-6.719183345205085E-12	-6.719183345205085E-12	3.6228610723549396E-11	0.23162203135265536	4.54910620240778E10	8.437055139660311E9	8.437055139660312E9	2.916728241224306E10	482317.77270012756	-308118.4109117661
730000	-362116.474496376	-54075.44168345372	-308041.03281292226	2.373216221109913E-11	-6.4394740797878984E-12	-6.4394740797878984E-12	3.5999548075591754E-11	0.22030949802468555	4.4286407981118416E10	7.921798787098695E9	7.921798787098695E9	2.919515033210708E10	482813.6071265254	-308041.03281292226
740000	-362049.5361777542	-54082.40512104048	-307967.13105671376	2.3279339435947634E-11	-6.16482081721997E-12	-6.16482081721997E-12	3.58411286628452E-11	0.21342451002786647	4.5006596792132416E10	7.741318847025893E9	7.741318847025893E9	2.923244559167603E10	483043.1663232328	-307967.13105671376
750000	-361989.78614351514	-54131.22127011293	-307858.56487340224	2.3766952627716103E-11	-6.778596254702066E-12	-6.778596254702066E-12	3.626808551916314E-11	0.23088233263003	4.444441290613233E10	8.306772374537303E9	8.306772374537302E9	2.9125007316655148E10	480478.55528732855	-307858.56487340224
760000	-361979.39899615553	-54162.14446788935	-307817.2545282662	2.3604564837649965E-11	-6.421021814835694E-12	-6.421021814835694E-12	3.6009850480008694E-11	0.2202396393159486	4.452436340504611E10	7.939269530546635E9	7.939269530546635E9	2.918585356062402E10	482841.0291309849	-307817.2545282662
770000	-362014.2193875833	-54218.42947521451	-307795.7899123688	2.402773889659344E-11	-6.5283718740364875E-12	-6.5283718740364875E-12	3.677561574805003E-11	0.21961826516216398	4.3727644164982376E10	7.76248926028338E9	7.76248926028338E9	2.8569920453746716E10	482140.5832262161	-307795.7899123688
780000	-362018.7233705821	-54248.70513698607	-307770.01823359606	2.4117620977700555E-11	-6.762296359719232E-12	-6.762296359719232E-12	3.607393300669679E-11	0.2292610197886312	4.376370682728085E10	8.203795114633107E9	8.203795114633106E9	2.9258703054186707E10	481843.02947548695	-307770.01823359606
790000	-362011.45579875825	-54274.15304463108	-307737.3027541272	2.3744578847613557E-11	-6.361030036564496E-12	-6.361030036564496E-12	3.720390992296548E-11	0.21401830427527002	4.413649706949366E10	7.546346181063205E9	7.546346181063205E9	2.8169150417094704E10	481698.48818683863	-307737.3027541272
800000	-361960.89605390537	-54313.06557996841	-307647.830473937	2.3806450581541054E-11	-6.25096192399736E-12	-6.25096192399736E-12	3.6412339219105655E-11	0.21231234098714066	4.398826000155892E10	7.551531823266216E9	7.551531823266217E9	2.8759600738466717E10	481924.0952624705	-307647.830473937
810000	-361944.59834172006	-54353.81950091172	-307590.7788408083	2.34703757864473E-11	-6.760708094426778E-12	-6.760708094426778E-12	3.7485415430246526E-11	0.2279297421428426	4.494171232748404E10	8.105493691945536E9	8.105493691945535E9	2.813891388706225E10	484281.2358150667	-307590.7788408083
820000	-361930.66016758187	-54408.376280252676	-307522.2838873292	2.4625052273303163E-11	-6.614419738334574E-12	-6.614419738334574E-12	3.6810122965619136E-11	0.2196946779102178	4.266847695782971E10	7.667108758591885E9	7.667108758591885E9	2.8544144676999866E10	483813.1069466598	-307522.2838873292
830000	-361873.37446555676	-54442.46633003589	-307430.9081355209	2.4023667710035157E-11	-6.995596805159086E-12	-6.995596805159086E-12	3.708582543265334E-11	0.2343695249836066	4.404496661435297E10	8.308317912196499E9	8.308317912196499E9	2.8531699912256844E10	482561.8017301846	-307430.9081355209
840000	-361820.2625514104	-54454.20876707683	-307366.0537843336	2.4612258539194258E-11	-6.836144452782354E-12	-6.836144452782354E-12	3.743155402808037E-11	0.2252249856524573	4.280131183689302E10	7.816826153305966E9	7.816826153305966E9	2.8143019441726093E10	483037.08796656417	-307366.0537843336
850000	-361819.689041134	-54506.21837273338	-307313.47066840064	2.4744856435189025E-11	-6.388409758888048E-12	-6.388409758888048E-12	3.730453405433293E-11	0.2102662092967019	4.228179661568601E10	7.24076708020414E9	7.24076708020414E9	2.8046375959371845E10	480806.15256863093	-307313.47066840064
860000	-361781.13766122924	-54538.435519522056	-307242.7021417072	2.4656010528894788E-11	-6.736102212101244E-12	-6.736102212101244E-12	3.818116518246063E-11	0.21954455786551846	4.261194985984335E10	7.517802255146883E9	7.517802255146883E9	2.7517250439587685E10	480274.8609851596	-307242.7021417072
870000	-361723.38864648354	-54567.68646531984	-307155.7021811637	2.4939979831144188E-11	-6.853245616808413E-12	-6.853245616808413E-12	3.739452538434757E-11	0.22441104871468506	4.222260734582097E10	7.738081864894854E9	7.738081864894854E9	2.8160030507135895E10	481299.4450362097	-307155.7021811637
880000	-361701.8323383283	-54597.53081342351	-307104.3015249048	2.497404733307257E-11	-6.944225330566355E-12	-6.944225330566355E-12	3.7446124503471625E-11	0.22707843943655556	4.221855085116926E10	7.829251601545925E9	7.829251601545926E9	2.8156934830280827E10	481467.76621624094	-307104.3015249048
890000	-361692.82690420095	-54641.068745270815	-307051.7581589301	2.479534377388573E-11	-6.83429530661135E-12	-6.83429530661135E-12	3.7893777547417086E-11	0.22295885372266067	4.2439866018736496E10	7.654200660837402E9	7.654200660837402E9	2.7770022831200954E10	479558.6117789515	-307051.7581589301
900000	-361712.99626286345	-54697.995537307484	-307015.000725556	2.514591792812536E-11	-7.243968062746756E-12	-7.243968062746756E-12	3.893415662999382E-11	0.23151407229275037	4.202011224797337E10	7.818131364963415E9	7.818131364963414E9	2.713900557702466E10	482804.2743176772	-307015.000725556
910000	-361669.48734658316	-54712.24038394062	-306957.24696264253	2.553168319801425E-11	-7.431166588598228E-12	-7.431166588598228E-12	3.8621476726219946E-11	0.2366479986987826	4.149058951316627E10	7.983213192937436E9	7.983213192937435E9	2.7428381225771275E10	483454.6018734216	-306957.24696264253
