utla,Early_count_elephants,Early_count_all,Early_count_del_21765_6,Late_count_elephants,Late_count_all,Late_count_del_21765_6,Later_count_elephants,Later_count_all,Later_count_del_21765_6,Latest_count_elephants,Latest_count_all,Latest_count_del_21765_6,Jan2021_count_elephants,Jan2021_count_all,Jan2021_count_del_21765_6,arrival_days_later,arrival,growth,mob,cases_pre_nov,cases_pre_jan,pop,S_in_nov,S_in_jan,inc_pre_nov,inc_pre_jan,propu20,u20,early_mob,late_mob,later_mob,latest_mob,Jan2021_mob,latest_internal,Jan2021_internal,map_change_early_late,map_change_late_later,map_change_early_later,map_change_later_latest,map_change_latest_jan2021,map_early,map_late,map_later,map_latest,map_jan2021
S12000041,0,114,5,0,1,0,0,15,1,0,3,0,13,28,14,21,17/12/2020,-0.022110202,NA,809,1695,116200,115391,114505,0.006962134,0.014586919,0.215929432,116200,NA,NA,NA,NA,NA,NA,NA,0.002088971,0.001118891,0.003207862,0.003536941,0.30980001,0.004052937,0.006141908,0.0072608,0.010797741,0.320597751
S12000042,0,98,4,NA,NA,NA,0,12,1,0,3,0,9,18,10,9,29/12/2020,0.014904949,NA,2426,4444,149320,146894,144876,0.016246986,0.029761586,0.226747924,149320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004489819,NA,NA,NA,NA
S12000045,0,103,4,0,1,0,4,12,4,1,3,1,9,16,9,42,26/11/2020,-0.010091784,NA,1801,3262,108640,106839,105378,0.016577688,0.030025773,0.230927835,108640,NA,NA,NA,NA,NA,NA,NA,0.002251475,0.097885996,0.100137471,0.030839626,0.251920726,0.004340141,0.006591616,0.104477612,0.135317238,0.387237964
S12000047,0,103,5,0,4,0,0,12,0,0,13,0,3,18,3,22,16/12/2020,0.024131746,NA,2502,6577,373550,371048,366973,0.006697899,0.017606746,0.22991032,373550,NA,NA,NA,NA,NA,NA,NA,0.001996227,0.001474601,0.003470828,0.001013942,0.078296988,0.004340141,0.006336367,0.007810969,0.008824911,0.087121899
S12000048,0,37,0,0,1,0,0,7,0,2,17,2,19,30,19,22,16/12/2020,0.082323126,NA,931,2497,151950,151019,149453,0.006127015,0.016433037,0.211793353,151950,NA,NA,NA,NA,NA,NA,NA,0.004656059,0.00116167,0.005817729,0.064039832,0.389027626,0.00902886,0.013684919,0.01484659,0.078886422,0.467914048
S12000049,2,1055,25,2,22,2,7,57,8,10,34,10,84,109,84,64,04/11/2020,0.038501243,NA,13908,25679,633120,619212,607441,0.0219674,0.040559452,0.214131602,633120,NA,NA,NA,NA,NA,NA,NA,0.003411564,0.020128958,0.023540521,0.045632266,0.364713607,0.002135256,0.00554682,0.025675777,0.071308043,0.43602165
S12000050,0,421,24,0,3,0,5,36,6,1,12,1,19,38,19,57,11/11/2020,0.039705001,NA,6624,12854,341370,334746,328516,0.019404166,0.037654158,0.241022937,341370,NA,NA,NA,NA,NA,NA,NA,0.000766878,0.032504933,0.033271811,0.006925839,0.218186505,0.001861907,0.002628785,0.035133718,0.042059557,0.260246062
W06000001,0,13,0,0,4,0,0,1,0,6,12,6,5,8,5,12,26/12/2020,-0.0017641,NA,798,1203,70043,69245,68840,0.011393001,0.017175164,0.216638351,70043,NA,NA,NA,NA,NA,NA,NA,0.00205639,0.009778677,0.011835067,0.362239851,0.118255728,0.019864476,0.021920866,0.031699543,0.393939394,0.512195122
W06000002,0,22,0,0,1,0,0,2,0,3,10,3,5,8,5,24,14/12/2020,0.024447957,NA,1187,1780,124560,123373,122780,0.009529544,0.014290302,0.231832049,124560,NA,NA,NA,NA,NA,NA,NA,0.006454955,0.006397053,0.012852009,0.186890963,0.218685285,0.013342793,0.019797748,0.026194802,0.213085765,0.431771049
W06000008,0,12,0,0,4,0,0,3,0,0,3,0,NA,NA,NA,0,07/01/2021,-0.013660272,NA,250,1285,72695,72445,71410,0.003439026,0.017676594,0.226728111,72695,NA,NA,NA,NA,NA,NA,NA,0.001654377,0.003443033,0.00509741,0.002455841,NA,0.021097392,0.022751769,0.026194802,0.028650642,NA
W06000009,0,9,0,2,6,2,0,12,0,1,7,1,1,1,1,48,20/11/2020,0.044276116,NA,600,2211,125818,125218,123607,0.004768793,0.017573002,0.219221415,125818,NA,NA,NA,NA,NA,NA,NA,0.159375147,-0.126610127,0.03276502,0.037080819,0.101761288,0.0261462,0.185521347,0.05891122,0.095992039,0.197753327
W06000010,0,72,24,0,10,0,0,20,0,2,31,2,NA,NA,NA,24,14/12/2020,0.069937666,NA,2088,7957,188771,186683,180814,0.011061021,0.042151602,0.227211807,188771,NA,NA,NA,NA,NA,NA,NA,0.001682392,0.000135032,0.001817425,0.030859597,NA,0.005563996,0.007246388,0.007381421,0.038241018,NA
W06000011,0,137,4,0,10,0,1,45,1,5,36,5,5,7,5,31,07/12/2020,0.05488733,NA,4793,14288,246993,242200,232705,0.019405408,0.057847793,0.237010765,246993,NA,NA,NA,NA,NA,NA,NA,0.001387365,0.007616491,0.009003856,0.057843163,0.097698367,0.003589013,0.004976378,0.012592869,0.070436033,0.168134399
W06000012,0,53,5,0,5,1,1,20,2,1,27,2,6,12,6,39,29/11/2020,0.072655793,NA,2503,9403,143315,140812,133912,0.017465025,0.065610718,0.234616056,143315,NA,NA,NA,NA,NA,NA,NA,0.002624312,0.019342611,0.021966924,0.00477086,0.162128566,0.006931514,0.009555826,0.028898437,0.033669297,0.195797863
W06000013,0,88,4,0,2,0,1,4,1,13,48,13,7,13,7,63,05/11/2020,0.065851415,NA,2556,10027,147049,144493,137022,0.017381961,0.068188155,0.230807418,147049,NA,NA,NA,NA,NA,NA,NA,0.00241151,0.030772006,0.033183516,0.181206915,0.094709935,0.004834878,0.007246388,0.038018394,0.219225309,0.313935245
W06000014,0,33,0,0,1,0,4,10,4,3,7,3,4,5,4,49,19/11/2020,0.056515304,NA,1495,5344,133587,132092,128243,0.011191209,0.040003893,0.236100818,133587,NA,NA,NA,NA,NA,NA,NA,0.00502125,0.196709567,0.201730817,0.091994179,0.187248313,0.009832915,0.014854165,0.211563732,0.303557911,0.490806223
W06000015,0,225,14,0,2,1,1,29,2,12,63,17,7,17,8,37,01/12/2020,0.059031946,NA,8020,20169,366903,358883,346734,0.021858638,0.054970932,0.26217011,366903,NA,NA,NA,NA,NA,NA,NA,0.001235208,0.008446194,0.009681402,0.105437754,0.071269734,0.002631697,0.003866904,0.012313098,0.117750853,0.189020586
W06000016,0,270,19,0,2,0,0,8,0,2,19,2,3,10,4,26,12/12/2020,0.061981344,NA,7131,17699,241264,234133,223565,0.029556834,0.073359473,0.240918662,241264,NA,NA,NA,NA,NA,NA,NA,0.001079835,0.001491222,0.002571056,0.030140296,0.068460204,0.002365836,0.00344567,0.004936892,0.035077189,0.103537393
W06000018,0,77,3,NA,NA,NA,2,15,3,2,26,3,2,4,2,28,10/12/2020,0.049857855,NA,3152,10543,181075,177923,170532,0.017407152,0.058224493,0.239961342,181075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005306802,NA,NA,NA,NA
W06000019,0,69,1,NA,NA,NA,0,1,0,2,7,2,1,3,1,27,11/12/2020,0.060720543,NA,1680,5153,69862,68182,64709,0.024047408,0.073759698,0.226174458,69862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005734391,NA,NA,NA,NA
W06000020,0,28,1,0,5,0,4,17,4,1,8,1,2,4,2,30,08/12/2020,0.059002308,NA,1127,4846,93961,92834,89115,0.011994338,0.051574589,0.236651377,93961,NA,NA,NA,NA,NA,NA,NA,0.002833996,0.136370232,0.139204228,-0.009473495,0.097768561,0.011122569,0.013956565,0.150326797,0.140853302,0.238621863
W06000021,0,17,0,NA,NA,NA,3,10,3,3,10,3,NA,NA,NA,35,03/12/2020,0.03668703,NA,891,3148,94590,93699,91442,0.0094196,0.033280474,0.209599323,94590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016219383,NA,NA,NA,NA
W06000022,0,62,0,0,2,0,1,14,1,5,28,5,1,3,1,49,19/11/2020,0.049742425,NA,2087,8443,154676,152589,146233,0.01349272,0.054585068,0.259083504,154676,NA,NA,NA,NA,NA,NA,NA,0.003043589,0.024514958,0.027558548,0.093304783,0.025060666,0.006189392,0.009232981,0.033747939,0.127052723,0.152113389
W06000023,0,24,3,0,2,1,1,10,1,8,19,10,0,7,0,24,14/12/2020,0.040352866,NA,938,2554,132435,131497,129881,0.00708272,0.019284932,0.207414958,132435,NA,NA,NA,NA,NA,NA,NA,0.005108599,0.04215513,0.047263729,0.248248333,-0.103562317,0.012493365,0.017601964,0.059757094,0.308005427,0.20444311
W06000024,0,64,4,0,2,0,0,5,0,0,6,0,2,4,2,7,31/12/2020,0.020874091,NA,2074,5508,60326,58252,54818,0.034379869,0.091303915,0.244919272,60326,NA,NA,NA,NA,NA,NA,NA,0.002981806,0.003049867,0.006031674,0.00234974,0.145191993,0.006050235,0.009032041,0.012081909,0.014431649,0.159623642
