utla,Early_count_elephants,Early_count_all,Early_count_del_21765_6,Late_count_elephants,Late_count_all,Late_count_del_21765_6,Later_count_elephants,Later_count_all,Later_count_del_21765_6,Latest_count_elephants,Latest_count_all,Latest_count_del_21765_6,Jan2021_count_elephants,Jan2021_count_all,Jan2021_count_del_21765_6,arrival_days_later,arrival,growth,mob,cases_pre_nov,cases_pre_jan,pop,S_in_nov,S_in_jan,inc_pre_nov,inc_pre_jan,propu20,u20,early_mob,late_mob,later_mob,latest_mob,Jan2021_mob,latest_internal,Jan2021_internal,map_change_early_late,map_change_late_later,map_change_early_later,map_change_later_latest,map_change_latest_jan2021,map_early,map_late,map_later,map_latest,map_jan2021
E10000013,4,328,19,3,34,3,5,42,5,38,79,38,63,79,63,56,12/11/2020,0.037823894,NA,4464,13630,637070,632606,623440,0.007007079,0.021394823,0.234087306,637070,NA,NA,NA,NA,NA,NA,NA,0.012976323,0.02783051,0.040806833,0.225826228,0.266234124,0.012458076,0.025434399,0.053264909,0.279091137,0.545325261
E10000014,10,705,37,8,69,8,74,151,76,99,143,99,92,96,92,99.04166667,30/09/2020,0.044407966,NA,10722,33197,1382542,1371820,1349345,0.00775528,0.024011567,0.23532522,1382542,NA,NA,NA,NA,NA,NA,NA,0.016616584,0.191508883,0.208125467,0.207376559,0.196656588,0.014303923,0.030920507,0.22242939,0.429805949,0.626462537
E10000015,13,821,50,20,137,23,170,293,172,370,466,375,268,284,268,62,06/11/2020,0.047004519,NA,10950,43352,1189519,1178569,1146167,0.009205402,0.036444983,0.257783188,1189519,NA,NA,NA,NA,NA,NA,NA,0.032509684,0.274777595,0.307287279,0.292694933,0.141295917,0.015934801,0.048444485,0.32322208,0.615917013,0.75721293
E10000016,475,1298,438,329,438,331,699,779,698,517,574,519,463,501,467,109.0416667,20/09/2020,0.055634233,NA,13958,75800,1581555,1567597,1505755,0.008825491,0.047927514,0.249706144,1581555,NA,NA,NA,NA,NA,NA,NA,0.15522684,0.221645042,0.376871882,0.073463012,0.048412839,0.365714726,0.520941566,0.742586608,0.81604962,0.864462459
E10000017,2,1963,8,1,152,3,32,216,34,98,270,99,257,398,257,54,14/11/2020,0.033322233,NA,34317,61953,1219799,1185482,1157846,0.028133324,0.050789515,0.242244829,1219799,NA,NA,NA,NA,NA,NA,NA,0.00063033,0.040197092,0.040827422,0.130930908,0.258115633,0.001348754,0.001979084,0.042176176,0.173107084,0.431222717
E10000018,6,769,8,5,169,6,12,130,12,5,14,5,46,55,47,59,09/11/2020,0.025820719,NA,11550,27176,706155,694605,678979,0.016356182,0.038484469,0.238866821,706155,NA,NA,NA,NA,NA,NA,NA,0.006608294,0.024841671,0.031449966,0.020453102,0.260812469,0.00792108,0.014529375,0.039371046,0.059824148,0.320636617
E10000019,0,687,11,1,76,2,8,106,8,9,35,9,9,18,9,48,20/11/2020,0.031991917,NA,7858,26274,761224,753366,734950,0.010322848,0.034515465,0.226929261,761224,NA,NA,NA,NA,NA,NA,NA,0.001507584,0.023982549,0.025490132,0.041737452,0.06779685,0.001485582,0.002993165,0.026975714,0.068713166,0.136510016
E10000020,59,628,69,44,123,45,44,78,45,60,98,60,41,48,41,66,02/11/2020,0.031041672,NA,6348,20497,907760,901412,887263,0.006993038,0.022579757,0.221739226,907760,NA,NA,NA,NA,NA,NA,NA,0.074151346,0.104080816,0.178232162,0.135261581,0.125255749,0.093943729,0.168095075,0.272175891,0.407437471,0.53269322
E10000021,5,414,7,4,134,5,42,125,43,60,102,61,121,155,120,78.04166667,21/10/2020,0.037382262,NA,8865,24254,753278,744413,729024,0.011768564,0.03219794,0.257968506,753278,NA,NA,NA,NA,NA,NA,NA,0.00689109,0.133895157,0.140786246,0.177626378,0.24912749,0.012286191,0.01917728,0.153072437,0.330698814,0.579826304
E10000023,0,1236,13,0,102,0,29,170,30,43,102,45,137,179,137,40,28/11/2020,0.00923981,NA,7844,18375,618054,610210,599679,0.012691448,0.029730412,0.215494115,618054,NA,NA,NA,NA,NA,NA,NA,0.000231122,0.053296736,0.053527859,0.101915368,0.300520797,0.001207892,0.001439014,0.05473575,0.156651118,0.457171916
E10000024,1,754,13,0,70,1,17,143,18,6,14,6,18,26,18,56,12/11/2020,0.040159229,NA,14913,32271,828224,813311,795953,0.018005998,0.038964097,0.230886813,828224,NA,NA,NA,NA,NA,NA,NA,0.00025559,0.044887983,0.045143573,0.027056444,0.128891301,0.001956148,0.002211738,0.047099721,0.074156165,0.203047466
E10000025,1,387,11,3,45,5,19,60,22,76,100,78,27,35,27,54,14/11/2020,0.041003571,NA,7065,19206,691667,684602,672461,0.010214453,0.027767697,0.251233614,691667,NA,NA,NA,NA,NA,NA,NA,0.011565941,0.100871782,0.112437723,0.339518058,0.085205497,0.003284321,0.014850263,0.115722044,0.455240103,0.540445599
E10000027,6,336,19,11,30,11,7,26,7,38,68,38,63,82,63,56,12/11/2020,0.030147318,NA,2915,10430,562225,559310,551795,0.005184757,0.018551292,0.224660945,562225,NA,NA,NA,NA,NA,NA,NA,0.052667511,0.04119067,0.093858181,0.232606627,0.235856284,0.018095521,0.070763032,0.111953702,0.344560329,0.580416614
E10000028,5,969,24,2,114,2,20,148,21,61,171,61,127,219,128,73.04166667,26/10/2020,0.023159027,NA,13437,36502,879560,866123,843058,0.015276957,0.041500296,0.224096139,879560,NA,NA,NA,NA,NA,NA,NA,0.002338343,0.04217872,0.044517063,0.1329627,0.208896813,0.005256693,0.007595035,0.049773756,0.182736455,0.391633269
E10000029,8,341,23,4,54,5,26,72,27,28,50,28,28,35,28,69.04166667,30/10/2020,0.052134336,NA,4945,14975,761350,756405,746375,0.006495042,0.019669009,0.228723977,761350,NA,NA,NA,NA,NA,NA,NA,0.012092542,0.12694525,0.139037792,0.139630936,0.164116502,0.023677287,0.035769829,0.162715079,0.302346015,0.466462517
E10000030,20,656,38,17,63,18,90,133,91,132,150,133,139,165,140,78.04166667,21/10/2020,0.062186774,NA,11214,40411,1196236,1185022,1155825,0.009374404,0.033781796,0.252977673,1196236,NA,NA,NA,NA,NA,NA,NA,0.038495457,0.24579659,0.284292046,0.269628565,0.132081774,0.030588951,0.069084408,0.314880998,0.584509562,0.716591337
E10000031,0,338,3,1,32,1,5,41,5,21,31,21,64,93,62,42,26/11/2020,0.036022266,NA,7301,18545,577933,570632,559388,0.012632952,0.032088495,0.23585952,577933,NA,NA,NA,NA,NA,NA,NA,0.003583396,0.033298677,0.036882073,0.194252718,0.293936129,0.002088126,0.005671522,0.038970199,0.233222917,0.527159047
E10000034,1,281,8,0,28,1,8,28,8,24,45,24,76,95,76,58,10/11/2020,0.069301768,NA,6501,16450,595786,589285,579336,0.010911636,0.027610585,0.227732777,595786,NA,NA,NA,NA,NA,NA,NA,0.000194066,0.06901464,0.069208706,0.204327717,0.34060438,0.004330508,0.004524574,0.073539214,0.27786693,0.61847131
E11000001,2,4985,55,1,383,4,26,425,26,147,432,147,391,574,393,59,09/11/2020,0.031523162,NA,103157,170084,2835686,2732529,2665602,0.036378146,0.059979843,0.26364661,2835686,NA,NA,NA,NA,NA,NA,NA,0.000108823,0.013382426,0.013491249,0.103213881,0.257556991,0.001014729,0.001123552,0.014505978,0.11771986,0.37527685
E11000002,1,2653,10,1,110,1,5,112,8,102,277,105,444,696,444,62,06/11/2020,0.030406224,NA,48837,73809,1429910,1381073,1356101,0.034153898,0.051617934,0.240717248,1429910,NA,NA,NA,NA,NA,NA,NA,0.000379247,0.005493091,0.005872338,0.144560588,0.32485948,0.001081131,0.001460378,0.006953469,0.151514057,0.476373537
E11000003,1,1872,32,0,160,3,6,181,7,16,81,16,51,79,51,57,11/11/2020,0.04480612,NA,41920,72040,1409020,1367100,1336980,0.029751175,0.051127734,0.247696271,1409020,NA,NA,NA,NA,NA,NA,NA,0.000162374,0.00724726,0.007409634,0.034339641,0.157735119,0.001194822,0.001357196,0.008604456,0.042944097,0.200679216
E11000005,1,2715,25,8,381,12,98,449,97,213,402,218,658,806,662,55,13/11/2020,0.048398846,NA,56300,137654,2928592,2872292,2790938,0.019224255,0.047003475,0.280272909,2928592,NA,NA,NA,NA,NA,NA,NA,0.00384059,0.072651244,0.076491834,0.171322147,0.342199656,0.001075903,0.004916493,0.077567737,0.248889884,0.591089539
E11000006,1,3859,71,2,473,12,22,396,27,61,242,63,117,208,117,54,14/11/2020,0.036287137,NA,69249,125965,2332469,2263220,2206504,0.029689141,0.054005005,0.267598841,2332469,NA,NA,NA,NA,NA,NA,NA,0.000263545,0.013282822,0.013546367,0.055223168,0.140699865,0.001023045,0.00128659,0.014569412,0.06979258,0.210492445
E11000007,0,2131,19,0,168,8,9,134,15,78,195,82,108,157,108,32,06/12/2020,0.033270834,NA,32167,57985,1141469,1109302,1083484,0.028180354,0.050798576,0.238320095,1141469,NA,NA,NA,NA,NA,NA,NA,0.000130242,0.010815977,0.010946219,0.132611823,0.192859431,0.001070691,0.001200933,0.01201691,0.144628733,0.337488164
E13000001,343,7892,600,272,889,292,1907,2701,1933,2172,2564,2186,2245,2389,2248,108.0416667,21/09/2020,0.074839162,NA,39807,153766,3232000,3192193,3078234,0.012316522,0.047576114,0,3232000,NA,NA,NA,NA,NA,NA,NA,0.048258552,0.324148971,0.372407523,0.215813126,0.148644822,0.043468346,0.091726898,0.415875869,0.631688995,0.780333817
E13000002,343,7892,600,272,889,292,1907,2701,1933,2172,2564,2186,2245,2389,2248,108.0416667,21/09/2020,0.073539328,NA,60962,262588,8908081,8847119,8645493,0.006843449,0.029477505,0,8908081,NA,NA,NA,NA,NA,NA,NA,0.048258552,0.324148971,0.372407523,0.215813126,0.148644822,0.043468346,0.091726898,0.415875869,0.631688995,0.780333817
E28000091,2,993,7,1,84,2,11,147,11,107,207,109,177,273,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001363843,0.023870324,0.025234167,0.237951398,0.215147419,0.002249977,0.00361382,0.027484144,0.265435542,0.480582961
S12000005,0,20,1,NA,NA,NA,0,1,0,0,1,0,5,6,5,2,05/01/2021,-0.036979797,NA,493,1152,51540,51047,50388,0.009565386,0.022351572,0.227299185,51540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014340952,NA,NA,NA,NA
S12000006,0,23,0,NA,NA,NA,0,1,0,13,15,13,35,37,35,22,16/12/2020,-0.043156422,NA,895,2033,148860,147965,146827,0.006012361,0.013657128,0.203580545,148860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012901704,NA,NA,NA,NA
S12000008,0,81,2,0,1,0,0,11,0,2,4,2,3,9,3,21,17/12/2020,0.011142804,NA,1698,3604,122010,120312,118406,0.013916892,0.029538562,0.223973445,122010,NA,NA,NA,NA,NA,NA,NA,0.002684849,0.001393153,0.004078003,0.091364995,0.110221119,0.005121809,0.007806658,0.009199811,0.100564807,0.210785926
