,date,ltla_code,rates_sgtf,rates_Nsgtf,excess_growthrate,inf_mov,b117_intro_count_daily,LTLA_name,dateltlacode,date_int,inf_mov_log,inf_mov_st
44,03/11/2020,E06000005,0.000267291,0.044404257,-0.044136966,NA,0,Darlington,2020-11-03E06000005,30,NA,NA
45,21/11/2020,E06000005,-0.064117866,-0.159381217,0.095263351,NA,0,Darlington,2020-11-21E06000005,48,NA,NA
46,05/12/2020,E06000005,0.010561014,-0.090249997,0.100811011,NA,0,Darlington,2020-12-05E06000005,62,NA,NA
47,13/12/2020,E06000005,0.020414101,-0.044420588,0.064834689,NA,0.285714286,Darlington,2020-12-13E06000005,70,NA,NA
48,18/12/2020,E06000005,0.142625248,0.033816229,0.108809019,NA,0.285714286,Darlington,2020-12-18E06000005,75,NA,NA
49,21/10/2020,E06000005,0.008475266,0.121612534,-0.113137268,NA,0,Darlington,2020-10-21E06000005,17,NA,NA
50,27/11/2020,E06000005,0.022898562,-0.010962384,0.033860946,NA,0,Darlington,2020-11-27E06000005,54,NA,NA
51,09/01/2021,E06000005,-0.106758359,-0.173019837,0.066261478,NA,0.714285714,Darlington,2021-01-09E06000005,97,NA,NA
52,28/11/2020,E06000005,-0.017604294,-0.092312927,0.074708633,NA,0,Darlington,2020-11-28E06000005,55,NA,NA
53,12/12/2020,E06000005,0.00655791,-0.056736535,0.063294445,NA,0,Darlington,2020-12-12E06000005,69,NA,NA
54,01/11/2020,E06000005,0.00842442,-0.076686117,0.085110537,NA,0,Darlington,2020-11-01E06000005,28,NA,NA
55,03/12/2020,E06000005,0.072134116,0.051650599,0.020483517,NA,0,Darlington,2020-12-03E06000005,60,NA,NA
56,06/10/2020,E06000005,0.020999005,0.061224776,-0.040225771,NA,0,Darlington,2020-10-06E06000005,2,NA,NA
57,24/11/2020,E06000005,0.040406945,-0.01660227,0.057009215,NA,0,Darlington,2020-11-24E06000005,51,NA,NA
58,22/11/2020,E06000005,-0.051098855,-0.145947665,0.09484881,NA,0,Darlington,2020-11-22E06000005,49,NA,NA
59,08/10/2020,E06000005,0.012019587,0.122653184,-0.110633597,NA,0,Darlington,2020-10-08E06000005,4,NA,NA
60,22/10/2020,E06000005,-0.018191643,0.111157924,-0.129349567,NA,0,Darlington,2020-10-22E06000005,18,NA,NA
61,03/01/2021,E06000005,-0.041380926,-0.117601827,0.076220901,NA,0.714285714,Darlington,2021-01-03E06000005,91,NA,NA
62,30/11/2020,E06000005,0.016678236,-0.036568631,0.053246867,NA,0,Darlington,2020-11-30E06000005,57,NA,NA
63,01/12/2020,E06000005,0.055077075,0.014365734,0.040711341,NA,0,Darlington,2020-12-01E06000005,58,NA,NA
64,23/11/2020,E06000005,0.010996443,-0.069054782,0.080051225,NA,0,Darlington,2020-11-23E06000005,50,NA,NA
65,16/11/2020,E06000005,-0.01432775,-0.049343935,0.035016185,NA,0,Darlington,2020-11-16E06000005,43,NA,NA
66,15/11/2020,E06000005,-0.070179112,-0.109028387,0.038849275,NA,0,Darlington,2020-11-15E06000005,42,NA,NA
67,19/10/2020,E06000007,0.019606316,0.022222744,-0.002616428,NA,0,Warrington,2020-10-19E06000007,15,NA,NA
68,15/10/2020,E06000007,-0.057053126,0.103811306,-0.160864431,NA,0,Warrington,2020-10-15E06000007,11,NA,NA
69,11/10/2020,E06000007,0.087183451,-0.088402577,0.175586029,NA,0,Warrington,2020-10-11E06000007,7,NA,NA
70,18/10/2020,E06000007,0.021914742,-0.056857036,0.078771778,NA,0,Warrington,2020-10-18E06000007,14,NA,NA
71,17/10/2020,E06000007,0.002979775,-0.041545321,0.044525097,NA,0,Warrington,2020-10-17E06000007,13,NA,NA
72,15/12/2020,E06000007,0.111776905,0.059667438,0.052109468,NA,0.714285714,Warrington,2020-12-15E06000007,72,NA,NA
73,25/10/2020,E06000007,-0.004031177,-0.108569076,0.104537899,NA,0,Warrington,2020-10-25E06000007,21,NA,NA
74,30/10/2020,E06000007,0.004956663,0.041354876,-0.036398213,NA,0,Warrington,2020-10-30E06000007,26,NA,NA
75,10/10/2020,E06000007,0.053131927,-0.0466254,0.099757328,NA,0,Warrington,2020-10-10E06000007,6,NA,NA
76,14/12/2020,E06000007,0.100518631,0.021859606,0.078659025,NA,0.714285714,Warrington,2020-12-14E06000007,71,NA,NA
77,23/10/2020,E06000007,-0.015339117,0.045668789,-0.061007906,NA,0,Warrington,2020-10-23E06000007,19,NA,NA
78,09/10/2020,E06000007,0.018800828,0.05839749,-0.039596662,NA,0,Warrington,2020-10-09E06000007,5,NA,NA
79,16/12/2020,E06000007,0.195493519,0.075199839,0.12029368,NA,0.714285714,Warrington,2020-12-16E06000007,73,NA,NA
80,24/10/2020,E06000007,0.005160123,-0.086257262,0.091417385,NA,0,Warrington,2020-10-24E06000007,20,NA,NA
81,04/11/2020,E06000007,0.025852474,0.059876284,-0.034023809,NA,0,Warrington,2020-11-04E06000007,31,NA,NA
82,13/12/2020,E06000007,0.025996593,-0.034824269,0.060820862,NA,0.714285714,Warrington,2020-12-13E06000007,70,NA,NA
83,26/10/2020,E06000007,0.008868226,-0.037863529,0.046731755,NA,0,Warrington,2020-10-26E06000007,22,NA,NA
84,18/12/2020,E06000007,0.170841226,0.024467573,0.146373653,NA,0.714285714,Warrington,2020-12-18E06000007,75,NA,NA
85,16/10/2020,E06000007,-0.043465227,0.053827835,-0.097293062,NA,0,Warrington,2020-10-16E06000007,12,NA,NA
86,05/11/2020,E06000007,0.017749881,0.077722624,-0.059972743,NA,0,Warrington,2020-11-05E06000007,32,NA,NA
87,07/11/2020,E06000007,-0.002190364,-0.091037375,0.088847011,NA,0,Warrington,2020-11-07E06000007,34,NA,NA
88,22/10/2020,E06000007,-0.023856727,0.117635377,-0.141492104,NA,0,Warrington,2020-10-22E06000007,18,NA,NA
89,05/10/2020,E06000007,0.041238526,0.032301567,0.008936959,NA,0,Warrington,2020-10-05E06000007,1,NA,NA
90,19/12/2020,E06000007,0.099090184,-0.08708276,0.186172944,NA,0.714285714,Warrington,2020-12-19E06000007,76,NA,NA
91,14/10/2020,E06000007,-0.05192925,0.085477003,-0.137406253,NA,0,Warrington,2020-10-14E06000007,10,NA,NA
92,12/10/2020,E06000007,0.015695103,-0.031838229,0.047533332,NA,0,Warrington,2020-10-12E06000007,8,NA,NA
93,20/10/2020,E06000007,0.020349362,0.084810072,-0.06446071,NA,0,Warrington,2020-10-20E06000007,16,NA,NA
94,01/11/2020,E06000007,0.004827114,-0.093970918,0.098798032,NA,0,Warrington,2020-11-01E06000007,28,NA,NA
95,06/11/2020,E06000007,-0.006229242,0.031583686,-0.037812928,NA,0,Warrington,2020-11-06E06000007,33,NA,NA
96,02/11/2020,E06000007,0.017209479,0.002634109,0.01457537,NA,0,Warrington,2020-11-02E06000007,29,NA,NA
97,08/10/2020,E06000007,-0.005236667,0.095912165,-0.101148832,NA,0,Warrington,2020-10-08E06000007,4,NA,NA
98,07/10/2020,E06000007,-0.004978066,0.092890297,-0.097868363,NA,0,Warrington,2020-10-07E06000007,3,NA,NA
99,13/10/2020,E06000007,-0.017051616,0.022005141,-0.039056756,NA,0,Warrington,2020-10-13E06000007,9,NA,NA
100,21/10/2020,E06000007,-0.019621975,0.119709566,-0.139331541,NA,0,Warrington,2020-10-21E06000007,17,NA,NA
101,29/10/2020,E06000007,0.001784041,0.08421469,-0.082430649,NA,0,Warrington,2020-10-29E06000007,25,NA,NA
102,31/10/2020,E06000007,-0.009150306,-0.071467547,0.062317241,NA,0,Warrington,2020-10-31E06000007,27,NA,NA
103,17/12/2020,E06000007,0.195447411,0.076632839,0.118814572,NA,0.714285714,Warrington,2020-12-17E06000007,74,NA,NA
104,03/11/2020,E06000007,0.002686166,0.04224215,-0.039555984,NA,0,Warrington,2020-11-03E06000007,30,NA,NA
105,27/10/2020,E06000007,-0.003628126,0.019502211,-0.023130337,NA,0,Warrington,2020-10-27E06000007,23,NA,NA
106,28/10/2020,E06000007,-0.009605541,0.066960494,-0.076566034,NA,0,Warrington,2020-10-28E06000007,24,NA,NA
107,06/10/2020,E06000007,0.009887772,0.057602132,-0.04771436,NA,0,Warrington,2020-10-06E06000007,2,NA,NA
108,18/10/2020,E06000014,0.037602593,-0.059428386,0.09703098,NA,0,York,2020-10-18E06000014,14,NA,NA
109,05/01/2021,E06000014,0.118866656,0.064210713,0.054655942,NA,1.285714286,York,2021-01-05E06000014,93,NA,NA
110,12/12/2020,E06000014,0.066210933,-0.040905082,0.107116015,NA,0.285714286,York,2020-12-12E06000014,69,NA,NA
111,26/10/2020,E06000014,0.007743824,-0.032857475,0.040601299,NA,0,York,2020-10-26E06000014,22,NA,NA
112,06/12/2020,E06000014,-0.069044096,-0.075957063,0.006912967,NA,0.285714286,York,2020-12-06E06000014,63,NA,NA
113,25/10/2020,E06000014,0.02187188,-0.127454998,0.149326878,NA,0,York,2020-10-25E06000014,21,NA,NA
114,04/01/2021,E06000014,0.055045833,-0.001487217,0.05653305,NA,1.285714286,York,2021-01-04E06000014,92,NA,NA
115,14/12/2020,E06000014,0.106421518,0.039934118,0.066487401,NA,0.571428571,York,2020-12-14E06000014,71,NA,NA
116,25/12/2020,E06000014,-0.121897087,-0.182059459,0.060162372,NA,0.285714286,York,2020-12-25E06000014,82,NA,NA
117,11/10/2020,E06000014,0.082534404,-0.085273269,0.167807673,NA,0,York,2020-10-11E06000014,7,NA,NA
